Clock      Train Name                               Next Position  
0.00       T2                                       6  
0.00       T0                                       2  
0.00       T3                                       8  
0.00       T1                                       4  
3.93       T0                                       2  
4.51       T2                                       6  
5.35       T3                                       8  
4.66       T2                                       8  
5.42       T1                                       4  
5.42       T0                                       4  
5.83       T3                                       10 
6.01       T1                                       6  
6.41       T2                                       8  
8.74       T0                                       4  
8.80       T1                                       6  
9.68       T0                                       6  
8.92       T1                                       8  
9.77       T3                                       10 
9.77       T2                                       10 
10.39      T3                                       12 
12.96      T2                                       10 
13.28      T1                                       8  
13.47      T3                                       12 
13.46      T2                                       12 
13.51      T0                                       6  
14.05      T1                                       10 
13.89      T3                                       14 
14.13      T0                                       8  
16.82      T3                                       14 
16.87      T2                                       12 
17.69      T1                                       10 
16.96      T3                                       16 
17.79      T2                                       14 
18.16      T1                                       12 
18.53      T0                                       8  
18.55      T2                                       14 
19.39      T0                                       10 
21.29      T3                                       16 
21.29      T2                                       16 
21.96      T3                                       18 
22.86      T1                                       12 
23.09      T1                                       14 
24.03      T0                                       10 
25.03      T0                                       12 
25.07      T2                                       16 
25.64      T3                                       18 
26.05      T2                                       18 
26.94      T3                                       0  
27.95      T1                                       14 
28.35      T0                                       12 
28.55      T1                                       16 
29.16      T0                                       14 
29.29      T2                                       18 
29.95      T3                                       0  
30.42      T2                                       0  
31.50      T1                                       16 
31.39      T3                                       2  
32.63      T1                                       18 
32.82      T3                                       2  
32.97      T0                                       14 
33.01      T2                                       0  
33.45      T1                                       18 
33.50      T0                                       16 
34.13      T3                                       4  
34.88      T2                                       2  
35.02      T1                                       0  
36.63      T3                                       4  
37.36      T0                                       16 
36.90      T3                                       6  
38.87      T0                                       18 
38.95      T1                                       0  
39.36      T2                                       2  
39.77      T3                                       6  
40.77      T3                                       8  
39.96      T2                                       4  
40.04      T1                                       2  
42.77      T2                                       4  
43.74      T0                                       18 
42.80      T2                                       6  
44.47      T1                                       2  
44.51      T2                                       6  
45.05      T3                                       8  
44.97      T2                                       8  
45.50      T0                                       0  
45.44      T1                                       4  
45.66      T3                                       10 
48.82      T2                                       8  
49.65      T3                                       10 
49.00      T2                                       10 
49.82      T0                                       0  
49.95      T3                                       12 
51.68      T1                                       4  
50.96      T0                                       2  
52.30      T2                                       10 
52.07      T1                                       6  
52.63      T0                                       2  
53.38      T3                                       12 
53.38      T2                                       12 
53.88      T0                                       4  
53.88      T3                                       14 
55.86      T1                                       6  
56.47      T0                                       4  
56.25      T1                                       8  
56.90      T2                                       12 
57.04      T0                                       6  
58.89      T1                                       8  
58.90      T3                                       14 
58.90      T2                                       14 
59.31      T1                                       10 
59.33      T3                                       16 
60.14      T2                                       14 
60.34      T0                                       6  
61.11      T0                                       8  
62.10      T3                                       16 
62.10      T2                                       16 
63.24      T1                                       10 
62.97      T3                                       18 
63.90      T1                                       12 
64.39      T0                                       8  
64.53      T0                                       10 
65.79      T3                                       18 
66.03      T2                                       16 
67.07      T0                                       10 
66.99      T2                                       18 
67.37      T1                                       12 
67.20      T3                                       0  
67.94      T0                                       12 
67.81      T1                                       14 
69.59      T0                                       12 
70.54      T2                                       18 
70.91      T1                                       14 
70.91      T0                                       14 
71.75      T3                                       0  
71.07      T1                                       16 
72.69      T2                                       0  
73.82      T3                                       2  
74.52      T1                                       16 
76.14      T2                                       0  
74.90      T1                                       18 
76.68      T0                                       14 
77.31      T1                                       18 
77.05      T0                                       16 
78.74      T1                                       0  
79.20      T3                                       2  
79.20      T2                                       2  
79.38      T0                                       16 
80.24      T3                                       4  
80.25      T0                                       18 
81.71      T2                                       2  
81.77      T1                                       0  
82.45      T3                                       4  
82.93      T2                                       4  
82.97      T3                                       6  
83.17      T1                                       2  
84.15      T0                                       18 
85.59      T0                                       0  
86.55      T3                                       6  
87.23      T0                                       0  
86.86      T3                                       8  
88.33      T2                                       4  
88.42      T1                                       2  
88.84      T0                                       2  
88.81      T2                                       6  
89.44      T1                                       4  
89.89      T3                                       8  
90.89      T3                                       10 
91.45      T2                                       6  
92.00      T2                                       8  
93.57      T1                                       4  
94.03      T0                                       2  
94.12      T1                                       6  
94.16      T3                                       10 
95.07      T3                                       12 
94.98      T0                                       4  
97.27      T2                                       8  
97.63      T2                                       10 
98.44      T3                                       12 
98.90      T0                                       4  
98.97      T3                                       14 
99.60      T2                                       10 
100.11     T1                                       6  
100.11     T0                                       6  
100.10     T2                                       12 
101.12     T1                                       8  
103.90     T2                                       12 
104.28     T3                                       14 
104.51     T2                                       14 
104.72     T1                                       8  
104.85     T3                                       16 
105.35     T0                                       6  
105.09     T1                                       10 
105.89     T0                                       8  
107.38     T2                                       14 
107.59     T1                                       10 
108.59     T1                                       12 
109.00     T3                                       16 
109.00     T2                                       16 
110.11     T3                                       18 
110.47     T0                                       8  
110.85     T1                                       12 
111.10     T0                                       10 
111.59     T1                                       14 
112.50     T2                                       16 
113.65     T0                                       10 
113.93     T1                                       14 
114.06     T3                                       18 
114.06     T2                                       18 
114.25     T0                                       12 
114.61     T1                                       16 
115.74     T3                                       0  
116.13     T1                                       16 
116.90     T2                                       18 
117.35     T1                                       18 
117.48     T0                                       12 
118.20     T0                                       14 
119.85     T3                                       0  
119.85     T2                                       0  
