Clock      Train Name                               Next Position  
0.00       T7                                       16 
0.00       T4                                       10 
0.00       T6                                       14 
0.00       T0                                       2  
0.00       T3                                       8  
0.00       T5                                       12 
0.00       T2                                       6  
0.00       T1                                       4  
1.47       T3                                       8  
2.32       T5                                       12 
3.03       T6                                       14 
3.03       T5                                       14 
3.38       T1                                       4  
3.41       T4                                       10 
3.41       T3                                       10 
3.68       T7                                       16 
3.80       T6                                       16 
4.02       T4                                       12 
4.75       T0                                       2  
4.60       T7                                       18 
4.81       T2                                       6  
4.81       T1                                       6  
5.61       T0                                       4  
5.96       T6                                       16 
5.70       T2                                       8  
6.32       T5                                       14 
6.72       T5                                       16 
7.75       T3                                       10 
7.83       T1                                       6  
8.26       T0                                       4  
8.72       T7                                       18 
8.72       T6                                       18 
8.87       T5                                       16 
8.76       T0                                       6  
9.61       T2                                       8  
9.61       T1                                       8  
10.01      T0                                       6  
10.21      T2                                       10 
10.22      T7                                       0  
10.28      T4                                       12 
10.28      T3                                       12 
10.82      T4                                       14 
10.88      T6                                       18 
10.88      T5                                       18 
12.91      T2                                       10 
13.09      T4                                       14 
13.46      T7                                       0  
13.46      T6                                       0  
13.73      T4                                       16 
14.17      T3                                       12 
14.17      T2                                       12 
14.67      T5                                       18 
14.67      T3                                       14 
15.00      T1                                       8  
15.00      T0                                       8  
14.93      T7                                       2  
15.43      T1                                       10 
16.11      T0                                       8  
16.14      T6                                       0  
16.15      T7                                       2  
16.18      T5                                       0  
17.48      T7                                       4  
17.69      T6                                       2  
18.17      T1                                       10 
18.17      T0                                       10 
18.51      T3                                       14 
18.51      T4                                       16 
19.02      T3                                       16 
19.38      T2                                       12 
19.38      T1                                       12 
19.42      T4                                       18 
19.86      T7                                       4  
20.41      T0                                       10 
20.24      T2                                       14 
20.44      T5                                       0  
20.27      T7                                       6  
21.53      T6                                       2  
22.29      T5                                       2  
22.59      T1                                       12 
22.59      T0                                       12 
22.47      T6                                       4  
22.75      T3                                       16 
24.70      T2                                       14 
24.70      T1                                       14 
24.70      T0                                       12 
24.88      T4                                       18 
24.88      T3                                       18 
25.51      T2                                       16 
25.99      T6                                       4  
26.32      T7                                       6  
26.41      T4                                       0  
26.56      T6                                       6  
26.77      T2                                       16 
26.87      T7                                       8  
27.23      T3                                       18 
27.23      T5                                       2  
27.36      T1                                       14 
27.36      T0                                       14 
27.99      T1                                       16 
28.10      T7                                       8  
28.37      T5                                       4  
28.47      T4                                       0  
28.61      T2                                       18 
28.85      T3                                       0  
29.22      T7                                       10 
29.56      T6                                       6  
30.09      T4                                       2  
30.03      T6                                       8  
30.62      T5                                       4  
30.88      T1                                       16 
30.96      T0                                       14 
31.28      T5                                       6  
31.64      T0                                       16 
31.75      T3                                       0  
32.92      T5                                       6  
33.40      T7                                       10 
33.55      T2                                       18 
33.55      T1                                       18 
34.33      T6                                       8  
34.33      T5                                       8  
34.78      T0                                       16 
34.89      T6                                       10 
34.98      T7                                       12 
35.11      T2                                       0  
35.17      T4                                       2  
35.17      T3                                       2  
36.36      T4                                       4  
36.71      T3                                       2  
36.72      T1                                       18 
36.72      T0                                       18 
37.09      T5                                       8  
39.98      T6                                       10 
39.98      T5                                       10 
