Name,Passengers Carried,Accumulated Load Unload Delays,Average Load Unload Delay,Average Load Unload Nonzero Delay,Total Transit Delay,Average Transit Delay
Transducer_ExpFrame4TrainsNoDelays,1355,26,0.1313,1.3684,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1410,16,0.0755,1.3333,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1448,17,0.0798,1.4167,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1401,21,0.1019,1.1053,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1262,26,0.1390,1.1304,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1425,33,0.1579,1.2692,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1396,25,0.1225,0.9615,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1352,19,0.0936,1.0556,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1386,14,0.0673,0.8235,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1439,7,0.0335,0.7778,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1463,12,0.0569,1.2000,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1408,19,0.0927,0.9048,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1452,11,0.0516,1.0000,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1460,18,0.0841,1.1250,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1412,27,0.1304,1.5000,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1458,16,0.0755,0.7273,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1558,17,0.0749,1.2143,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1435,17,0.0798,1.5455,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1396,25,0.1190,1.4706,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1467,11,0.0516,0.9167,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1497,9,0.0417,0.7500,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1486,16,0.0734,1.0000,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1461,18,0.0845,1.2857,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1313,25,0.1256,1.0417,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1444,13,0.0613,0.8667,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1384,16,0.0758,0.7273,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1408,25,0.1225,0.8929,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1358,36,0.1827,1.1250,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1500,8,0.0360,0.7273,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1564,5,0.0225,0.4167,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1545,8,0.0364,0.6154,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1491,19,0.0872,0.8636,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1472,14,0.0645,0.7000,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1583,3,0.0132,0.7500,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1467,21,0.0981,1.0500,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1441,19,0.0892,1.2667,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1471,24,0.1116,1.6000,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1500,18,0.0829,1.0000,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1414,16,0.0762,0.8421,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1437,24,0.1132,1.1429,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1452,13,0.0613,0.6500,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1530,14,0.0619,0.9333,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1451,10,0.0459,0.6667,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1494,15,0.0670,1.0000,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1501,8,0.0364,1.0000,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1487,12,0.0561,1.0909,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1478,10,0.0467,0.9091,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1570,12,0.0529,1.0909,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1442,32,0.1481,1.1429,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1497,11,0.0507,0.7857,0.0000,NaN
Transducer_ExpFrame4TrainsNoDelays,1524,14,0.0633,0.6667,0.0000,NaN
