Name,Passengers Carried,Passengers Waiting,Accumulated Load Unload Delays,Average Load Unload Delay,Average Load Unload Nonzero Delay,Total Transit Delay,Average Transit Delay
Transducer_ExpFrame4TrainsWithDelays,1202,2249,38,0.2054,1.5833,26.2882,2.0222
Transducer_ExpFrame4TrainsWithDelays,1298,2036,23,0.1162,0.8214,29.8133,1.5691
Transducer_ExpFrame4TrainsWithDelays,1220,2147,38,0.2021,1.2258,38.6165,1.6790
Transducer_ExpFrame4TrainsWithDelays,1309,2006,12,0.0609,0.8000,46.2943,1.6534
Transducer_ExpFrame4TrainsWithDelays,1197,2244,26,0.1376,1.0400,32.1721,1.4624
Transducer_ExpFrame4TrainsWithDelays,1307,1876,33,0.1667,0.9706,32.4811,1.3534
Transducer_ExpFrame4TrainsWithDelays,1248,2155,26,0.1340,1.1304,39.4766,1.7944
Transducer_ExpFrame4TrainsWithDelays,1308,2250,10,0.0500,0.7143,24.6186,1.7585
Transducer_ExpFrame4TrainsWithDelays,1348,1925,28,0.1393,0.9032,26.8687,1.5805
Transducer_ExpFrame4TrainsWithDelays,1274,1955,21,0.1077,1.0000,40.5977,1.5036
Transducer_ExpFrame4TrainsWithDelays,1295,1916,28,0.1373,1.1667,21.7236,1.4482
Transducer_ExpFrame4TrainsWithDelays,1349,1828,27,0.1304,1.0000,25.0261,1.5641
Transducer_ExpFrame4TrainsWithDelays,1357,2080,18,0.0887,0.8182,24.2986,1.2149
Transducer_ExpFrame4TrainsWithDelays,1192,1997,34,0.1809,1.0303,14.7479,1.2290
Transducer_ExpFrame4TrainsWithDelays,1393,2102,30,0.1471,1.5000,36.4520,1.6569
Transducer_ExpFrame4TrainsWithDelays,1290,2215,29,0.1495,1.1600,31.7809,1.3818
Transducer_ExpFrame4TrainsWithDelays,1337,2218,15,0.0728,1.0000,24.7387,0.9515
Transducer_ExpFrame4TrainsWithDelays,1303,2219,22,0.1078,1.2222,32.2007,1.6948
Transducer_ExpFrame4TrainsWithDelays,1362,1947,15,0.0721,0.9375,24.8436,1.3802
Transducer_ExpFrame4TrainsWithDelays,1385,2087,8,0.0379,0.6154,35.0983,1.4624
Transducer_ExpFrame4TrainsWithDelays,1384,2176,7,0.0341,0.6364,36.9304,1.5388
Transducer_ExpFrame4TrainsWithDelays,1447,2100,17,0.0787,1.2143,18.4213,1.0234
Transducer_ExpFrame4TrainsWithDelays,1366,2147,15,0.0725,1.0714,35.6256,1.3702
Transducer_ExpFrame4TrainsWithDelays,1421,2113,15,0.0708,1.0000,22.2630,1.3914
Transducer_ExpFrame4TrainsWithDelays,1302,1968,12,0.0606,1.0909,20.6212,1.2888
Transducer_ExpFrame4TrainsWithDelays,1387,2114,14,0.0657,1.1667,31.5463,1.6603
Transducer_ExpFrame4TrainsWithDelays,1449,2052,10,0.0472,1.1111,31.6797,1.6674
Transducer_ExpFrame4TrainsWithDelays,1315,2277,34,0.1692,1.0968,22.6004,1.2556
Transducer_ExpFrame4TrainsWithDelays,1430,2055,5,0.0233,0.6250,19.6978,1.2311
Transducer_ExpFrame4TrainsWithDelays,1395,2151,6,0.0284,1.0000,34.7569,1.3903
Transducer_ExpFrame4TrainsWithDelays,1325,2005,18,0.0891,1.1250,37.1640,1.4866
Transducer_ExpFrame4TrainsWithDelays,1369,1898,22,0.1078,0.9565,21.2918,1.3307
Transducer_ExpFrame4TrainsWithDelays,1341,1903,17,0.0829,0.8500,23.1592,1.6542
Transducer_ExpFrame4TrainsWithDelays,1371,2001,18,0.0857,1.0588,27.9723,1.6454
Transducer_ExpFrame4TrainsWithDelays,1434,1943,12,0.0550,0.6000,31.0087,1.6320
Transducer_ExpFrame4TrainsWithDelays,1386,2151,14,0.0657,0.8235,21.2982,1.4199
Transducer_ExpFrame4TrainsWithDelays,1308,1876,26,0.1275,1.0000,25.3535,1.3344
Transducer_ExpFrame4TrainsWithDelays,1360,1969,27,0.1304,1.2273,33.1090,1.2263
Transducer_ExpFrame4TrainsWithDelays,1365,2118,8,0.0370,0.7273,21.4257,1.1903
Transducer_ExpFrame4TrainsWithDelays,1345,2005,18,0.0896,0.9474,31.0572,1.4117
Transducer_ExpFrame4TrainsWithDelays,1426,1983,17,0.0794,1.2143,44.4251,1.7087
Transducer_ExpFrame4TrainsWithDelays,1474,1988,16,0.0741,0.8421,20.1658,1.1203
Transducer_ExpFrame4TrainsWithDelays,1322,2246,19,0.0918,0.9048,28.4826,1.2947
Transducer_ExpFrame4TrainsWithDelays,1419,2051,12,0.0561,1.2000,35.7073,1.7854
Transducer_ExpFrame4TrainsWithDelays,1421,2084,19,0.0872,0.8636,27.5017,1.1957
Transducer_ExpFrame4TrainsWithDelays,1403,2178,22,0.1023,1.5714,45.4918,1.5687
Transducer_ExpFrame4TrainsWithDelays,1492,1866,13,0.0596,0.9286,31.6954,1.5093
Transducer_ExpFrame4TrainsWithDelays,1468,2030,7,0.0324,1.1667,30.0061,1.4289
Transducer_ExpFrame4TrainsWithDelays,1490,2115,12,0.0541,1.0000,23.2821,1.2934
Transducer_ExpFrame4TrainsWithDelays,1359,2069,32,0.1509,1.1852,30.5553,1.6082
Transducer_ExpFrame4TrainsWithDelays,1467,2082,13,0.0596,1.0833,25.1106,1.5694
