Name,Passengers Carried,Accumulated Load Unload Delays,Average Load Unload Delay,Average Load Unload Nonzero Delay,Total Transit Delay,Average Transit Delay
Transducer_ExpFrame6TrainsWithDelays,2113,16,0.0510,0.7273,27.9989,1.2727
Transducer_ExpFrame6TrainsWithDelays,1939,35,0.1151,0.9459,24.4652,1.1121
Transducer_ExpFrame6TrainsWithDelays,1988,32,0.1053,1.0000,59.0366,1.5138
Transducer_ExpFrame6TrainsWithDelays,1972,48,0.1569,1.1429,48.2481,1.8557
Transducer_ExpFrame6TrainsWithDelays,1916,28,0.0943,0.8000,43.3314,1.6049
Transducer_ExpFrame6TrainsWithDelays,2010,35,0.1148,1.2069,41.1932,1.4205
Transducer_ExpFrame6TrainsWithDelays,1872,56,0.1905,1.4359,42.8361,1.5865
Transducer_ExpFrame6TrainsWithDelays,2015,16,0.0508,0.6667,50.9822,1.5449
Transducer_ExpFrame6TrainsWithDelays,1889,43,0.1468,1.1316,54.7689,1.8256
Transducer_ExpFrame6TrainsWithDelays,1964,32,0.1070,1.0323,43.8542,1.5662
Transducer_ExpFrame6TrainsWithDelays,2025,30,0.0955,0.9091,35.2807,1.2166
Transducer_ExpFrame6TrainsWithDelays,1914,22,0.0738,0.8800,37.0474,1.6840
Transducer_ExpFrame6TrainsWithDelays,2031,29,0.0939,0.9355,30.8031,1.2321
Transducer_ExpFrame6TrainsWithDelays,1929,26,0.0867,0.7647,46.2066,1.7114
Transducer_ExpFrame6TrainsWithDelays,1860,61,0.2103,1.2449,55.3729,1.6780
Transducer_ExpFrame6TrainsWithDelays,1912,32,0.1074,0.9143,45.0084,1.3238
Transducer_ExpFrame6TrainsWithDelays,1942,48,0.1600,1.1163,34.5352,1.5015
Transducer_ExpFrame6TrainsWithDelays,1959,46,0.1533,1.0698,27.5167,1.3103
Transducer_ExpFrame6TrainsWithDelays,2066,18,0.0573,0.7500,36.1820,1.3916
Transducer_ExpFrame6TrainsWithDelays,1839,51,0.1783,1.5000,40.6926,1.5071
Transducer_ExpFrame6TrainsWithDelays,2037,34,0.1115,1.0000,34.9680,1.2951
Transducer_ExpFrame6TrainsWithDelays,1914,40,0.1338,1.1765,38.6752,1.1720
Transducer_ExpFrame6TrainsWithDelays,1956,27,0.0874,0.8438,45.0679,1.6096
Transducer_ExpFrame6TrainsWithDelays,1944,24,0.0800,0.8571,42.5135,1.6351
Transducer_ExpFrame6TrainsWithDelays,1923,52,0.1745,1.2381,53.5810,1.4884
Transducer_ExpFrame6TrainsWithDelays,2019,42,0.1364,1.2353,50.4427,1.5763
Transducer_ExpFrame6TrainsWithDelays,2074,38,0.1180,1.0270,47.0237,1.5169
Transducer_ExpFrame6TrainsWithDelays,1844,51,0.1777,1.0851,58.5908,1.6275
Transducer_ExpFrame6TrainsWithDelays,1964,39,0.1313,1.3929,43.4744,1.4991
Transducer_ExpFrame6TrainsWithDelays,1947,32,0.1056,1.1429,43.8105,1.6850
Transducer_ExpFrame6TrainsWithDelays,1953,32,0.1060,1.0000,51.5391,1.9089
Transducer_ExpFrame6TrainsWithDelays,1990,26,0.0844,0.6190,33.5867,1.3435
Transducer_ExpFrame6TrainsWithDelays,2036,11,0.0347,0.5500,43.1661,1.3925
Transducer_ExpFrame6TrainsWithDelays,2169,24,0.0738,0.8571,36.0283,1.4411
Transducer_ExpFrame6TrainsWithDelays,1950,38,0.1262,1.0556,25.2465,1.1476
Transducer_ExpFrame6TrainsWithDelays,1984,27,0.0879,0.6429,55.9786,1.6963
Transducer_ExpFrame6TrainsWithDelays,1899,37,0.1250,1.1935,53.4611,1.7820
Transducer_ExpFrame6TrainsWithDelays,1954,48,0.1584,0.9600,41.2710,1.4231
Transducer_ExpFrame6TrainsWithDelays,1958,44,0.1452,1.0476,43.8686,1.5667
Transducer_ExpFrame6TrainsWithDelays,1987,19,0.0623,0.9500,30.2224,0.9749
Transducer_ExpFrame6TrainsWithDelays,1953,30,0.0993,1.0345,36.0737,1.4429
Transducer_ExpFrame6TrainsWithDelays,2002,32,0.1022,1.0667,40.8135,1.3604
Transducer_ExpFrame6TrainsWithDelays,1979,33,0.1065,0.9167,41.2928,1.2145
Transducer_ExpFrame6TrainsWithDelays,2085,19,0.0605,0.7600,47.2347,1.4761
Transducer_ExpFrame6TrainsWithDelays,2009,41,0.1318,0.9762,51.2710,1.4649
Transducer_ExpFrame6TrainsWithDelays,2066,31,0.0990,1.2400,46.4617,1.6593
Transducer_ExpFrame6TrainsWithDelays,2026,28,0.0906,0.9655,53.4891,1.5283
Transducer_ExpFrame6TrainsWithDelays,1994,28,0.0900,1.0370,66.3191,1.7452
Transducer_ExpFrame6TrainsWithDelays,2031,27,0.0874,1.0000,51.6266,1.5644
Transducer_ExpFrame6TrainsWithDelays,2191,18,0.0552,0.7500,47.0571,1.6227
Transducer_ExpFrame6TrainsWithDelays,2109,12,0.0366,0.8571,44.8582,1.3593
