Name,Passengers Carried,Passengers Waiting,Accumulated Load Unload Delays,Average Load Unload Delay,Average Load Unload Nonzero Delay,Total Transit Delay,Average Transit Delay
Transducer_ExpFrame8TrainsNoDelays,2320,1034,77,0.1959,1.0548,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2383,993,89,0.2265,1.1558,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2383,945,71,0.1788,1.4490,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2428,924,51,0.1256,1.0408,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2417,910,64,0.1596,1.0847,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2493,844,47,0.1149,0.9038,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2448,881,68,0.1655,1.0000,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2419,1017,63,0.1559,0.9265,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2525,811,59,0.1432,1.1132,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2449,967,45,0.1087,0.7895,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2541,881,60,0.1453,0.8451,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2549,879,41,0.0990,0.6721,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2394,1020,52,0.1284,0.8966,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2509,856,59,0.1429,0.9365,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2430,932,51,0.1241,0.8644,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2362,1018,74,0.1818,1.1385,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2525,883,44,0.1050,0.8000,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2490,853,58,0.1394,1.0357,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2435,920,69,0.1671,1.1897,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2462,895,66,0.1602,0.9296,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2486,933,50,0.1199,0.9804,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2491,752,70,0.1675,1.0938,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2497,816,39,0.0935,0.8667,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2551,750,59,0.1388,0.8676,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2430,877,60,0.1489,1.1111,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2351,992,64,0.1604,1.0000,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2530,897,58,0.1374,0.8788,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2518,862,47,0.1116,0.7581,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2291,993,90,0.2320,1.5000,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2339,982,75,0.1913,1.0563,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2574,823,62,0.1466,1.1923,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2427,883,55,0.1355,0.8730,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2401,932,71,0.1788,1.2241,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2446,881,66,0.1642,1.0154,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2474,871,62,0.1509,1.0164,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2416,851,56,0.1383,0.9333,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2394,932,91,0.2304,1.1818,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2359,997,67,0.1671,1.0635,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2461,820,76,0.1845,1.0000,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2413,946,90,0.2256,1.4286,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2416,905,41,0.1010,0.6508,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2472,845,60,0.1449,0.9231,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2421,901,58,0.1443,1.0175,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2522,806,41,0.0986,0.9111,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2383,900,68,0.1709,0.9315,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2471,787,58,0.1398,0.9831,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2395,945,84,0.2059,1.3333,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2523,766,44,0.1026,0.8980,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2441,887,68,0.1659,1.1148,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2537,768,55,0.1300,0.9483,0.0000,NaN
Transducer_ExpFrame8TrainsNoDelays,2507,872,54,0.1298,1.2000,0.0000,NaN
